t_start,t_end,dur,victim_label,victim_char,attacker_label,attacker_char,attacker_move,team_guess,hits,total,hp_start,hp_end
1761409114.307120,1761409114.307120,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5A,,1,800,44000,43200
1761409120.440320,1761409120.440320,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409127.196491,1761409127.196491,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5A,,1,800,44000,43200
1761409128.571699,1761409128.571699,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5A,,1,800,44000,43200
1761409134.764239,1761409134.764239,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409151.325844,1761409151.325844,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409153.019485,1761409153.019485,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409154.713641,1761409154.713641,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409172.310651,1761409172.310651,0.000000,P1-C1,Ryu,P2-C1,Ken the Eagle,multihit,,1,500,43700,43200
1761409208.079264,1761409208.079264,0.000000,P1-C1,Ryu,P2-C1,Ken the Eagle,multihit,,1,500,43700,43200
1761409270.017563,1761409270.017563,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409273.148581,1761409273.148581,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409278.571618,1761409278.571618,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,2C,,1,2400,44000,41600
1761409280.676044,1761409280.676044,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,2C,,1,2400,41600,39200
1761409282.591223,1761409283.059719,0.468496,P2-C1,Ken the Eagle,P1-C1,Ryu,2C,,2,4508,39200,34692
1761409285.012292,1761409285.517805,0.505513,P2-C1,Ken the Eagle,P1-C1,Ryu,2C,,2,4497,44000,39503
1761409471.392101,1761409471.392101,0.000000,P1-C1,Ryu,P2-C1,Ken the Eagle,multihit,,1,500,43700,43200
1761409472.061266,1761409472.061266,0.000000,P1-C1,Ryu,P2-C1,Ken the Eagle,multihit,,1,500,43700,43200
1761409613.838604,1761409613.838604,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409615.909990,1761409615.909990,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409620.940809,1761409620.940809,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409622.461864,1761409622.461864,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,FLAG_258,,1,2480,44000,41520
1761409626.587503,1761409626.587503,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,5B,,1,1440,44000,42560
1761409630.107121,1761409630.107121,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,2B,,1,1360,44000,42640
1761409633.274446,1761409633.274446,0.000000,P2-C1,Ken the Eagle,P1-C1,Ryu,2B,,1,1360,44000,42640
1761409634.992559,1761409634.992559,0.000000,P1-C2,Chun-Li,,,,,1,4600,46000,41400
1761409635.323679,1761409635.323679,0.000000,P2-C1,Ken the Eagle,,,,,1,800,44000,43200
1761409655.920964,1761409655.920964,0.000000,P2-C1,Ken the Eagle,P1-C2,Chun-Li,2B,,1,940,44000,43060
