timestamp_utc,gui_frame,slot,team,fighter_base,char_id,character_name,point_before,point_after,event_kind,max_hp_before,max_hp_after,current_before,current_after,current_delta,aux_before,aux_after,aux_delta,red_before,red_after,red_delta,damage_observed,aux_loss_observed,red_generated_observed,predicted_aux_loss,predicted_red_generated,prediction_difference,prediction_match,prediction_confidence,predicted_reserve_step,pending_current_delta,pending_aux_delta,heal_sync_mode,baroque_before,baroque_after,red_spent_before,red_spent_after,attacker_slot,attacker_char_id,attacker_name,attacker_action_id,attacker_action_name,attacker_action_frame,attack_base_damage,attack_property_a,attack_property_b,notes
2026-07-25T16:55:48Z,118,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,43200,-800,44000,43520,-480,0,320,320,800,480,320,480,320,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:50Z,128,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,43200,41600,-1600,43520,42560,-960,320,960,640,1600,960,640,960,640,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:50Z,131,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,41600,39990,-1610,42560,41594,-966,960,1604,644,1610,966,644,966,644,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:50Z,134,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,39990,38462,-1528,41594,40678,-916,1604,2216,612,1528,916,612,916,612,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:51Z,138,P1-C1,P1,0x9246B9C0,12,Ryu,True,True,baroque_status_change,48000,48000,43200,43200,0,48000,48000,0,4800,4800,0,0,0,0,,,,,none,4,0,0,0,False,True,0,4800,,,,,,,,,,
2026-07-25T16:55:51Z,138,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,38462,37017,-1445,40678,39811,-867,2216,2794,578,1445,867,578,867,578,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:51Z,139,P1-C1,P1,0x9246B9C0,12,Ryu,True,True,baroque_consume,48000,48000,43200,43200,0,48000,43200,-4800,4800,0,-4800,0,4800,0,,-4800,0,True,high,4,0,0,0,True,True,4800,4800,,,,,,,,,,
2026-07-25T16:55:51Z,141,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,37017,36357,-660,39811,39415,-396,2794,3058,264,660,396,264,396,264,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:51Z,144,P1-C1,P1,0x9246B9C0,12,Ryu,True,True,recoverable_ceiling_gain,48000,48000,43200,43200,0,43200,48000,4800,0,4800,4800,0,0,4800,,,,,none,4,0,0,0,True,False,4800,4800,,,,,,,,,,
2026-07-25T16:55:52Z,145,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,36357,33877,-2480,39415,37927,-1488,3058,4050,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
