t,victim_label,victim_char,dmg,hp_before,hp_after,team_guess,attacker_label,attacker_char,attacker_id_dec,attacker_id_hex,attacker_move,dist2,victim_ptr_hex
1760732756.165667,P2-C1,Ryu,800,48000,47200,P1,P1-C1,Ryu,256,0x100,,1.3734275853494182e-05,0x927EB9E0
1760732756.970041,P2-C1,Ryu,800,47200,46400,P1,P1-C1,Ryu,256,0x100,,0.00012588269743574187,0x927EB9E0
1760732757.652877,P2-C1,Ryu,800,46400,45600,,P1-C1,Ryu,256,0x100,,0.006359453259822345,0x927EB9E0
1760732758.369335,P2-C1,Ryu,800,45600,44800,P1,P1-C1,Ryu,256,0x100,,0.00033035250658031146,0x927EB9E0
1760732759.065658,P2-C1,Ryu,800,44800,44000,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732759.887417,P2-C1,Ryu,800,44000,43200,,P1-C1,Ryu,256,0x100,,0.00011304530431743842,0x927EB9E0
1760732760.724139,P2-C1,Ryu,800,43200,42400,,P1-C1,Ryu,256,0x100,,0.007172750836218711,0x927EB9E0
1760732761.403743,P2-C1,Ryu,800,42400,41600,P1,P1-C1,Ryu,256,0x100,,0.0002393586487983157,0x927EB9E0
1760732762.045351,P2-C1,Ryu,800,41600,40800,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732762.947003,P2-C1,Ryu,800,40800,40000,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732763.789872,P2-C1,Ryu,800,40000,39200,,P1-C1,Ryu,256,0x100,,0.00021252806823213177,0x927EB9E0
1760732764.680938,P2-C1,Ryu,800,39200,38400,P1,P1-C1,Ryu,256,0x100,,0.0010416117611988795,0x927EB9E0
1760732801.428076,P2-C1,Ryu,800,48000,47200,P1,P1-C1,Ryu,256,0x100,,0.0007700898115672317,0x927EB9E0
1760732802.190647,P2-C1,Ryu,800,47200,46400,P1,P1-C1,Ryu,256,0x100,,7.01893702768075e-05,0x927EB9E0
1760732802.992309,P2-C1,Ryu,800,46400,45600,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732803.723364,P2-C1,Ryu,800,45600,44800,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732804.471374,P2-C1,Ryu,800,44800,44000,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732805.306066,P2-C1,Ryu,800,44000,43200,P1,P1-C1,Ryu,256,0x100,,0.00021252806823213177,0x927EB9E0
1760732806.043200,P2-C1,Ryu,800,43200,42400,P1,P1-C1,Ryu,256,0x100,,0.0003809762852711174,0x927EB9E0
1760732807.502874,P2-C1,Ryu,300,45900,46100,P1,P1-C1,Ryu,256,0x100,,0.00046564540686588884,0x927EB9E0
1760732808.189336,P2-C1,Ryu,800,46100,45300,,P1-C1,Ryu,256,0x100,,0.001894579788373818,0x927EB9E0
