t_start,t_end,dur,victim_label,victim_char,attacker_label,attacker_char,attacker_move,team_guess,hits,total,hp_start,hp_end
1760706567.748178,1760706567.748178,0.000000,P2-C1,Ryu,P1-C1,Ryu,,,1,800,48000,47200
1760706569.035383,1760706569.035383,0.000000,P2-C1,Ryu,P1-C1,Ryu,,,1,800,47200,46400
1760706589.187552,1760706589.187552,0.000000,P2-C1,Ryu,P1-C1,Ryu,,P1,1,1024,48000,46976
1760706590.905787,1760706591.920545,1.014759,P2-C1,Ryu,P1-C1,Ryu,,P1,5,4591,48000,43409
1760706593.040089,1760706593.747328,0.707239,P2-C1,Ryu,P1-C1,Ryu,,P1,4,3504,43409,39905
1760706596.316293,1760706596.316293,0.000000,P2-C1,Ryu,,,,,1,2400,48000,45600
1760706599.054759,1760706600.597855,1.543095,P2-C1,Ryu,P1-C1,Ryu,,,5,8008,48000,39992
1760706603.066471,1760706604.603064,1.536593,P2-C1,Ryu,P1-C1,Ryu,,P1,5,7508,41992,34984
1760706607.379287,1760706608.380991,1.001704,P2-C1,Ryu,P1-C1,Ryu,,P1,4,5684,45484,40300
1760706614.981733,1760706615.992032,1.010298,P2-C1,Ryu,P1-C1,Ryu,,,4,6184,48000,41816
1760706617.499251,1760706617.499251,0.000000,P2-C1,Ryu,,,,,1,1680,41816,40136
1760706618.706616,1760706622.555340,3.848724,P2-C1,Ryu,,,,P1,11,14561,40136,25575
1760706623.535846,1760706624.429812,0.893966,P2-C1,Ryu,P1-C2,Ken the Eagle,,,3,2439,25575,23136
1760706625.991755,1760706625.991755,0.000000,P2-C1,Ryu,P1-C2,Ken the Eagle,,,1,1988,23136,21148
1760706626.997720,1760706626.997720,0.000000,P2-C1,Ryu,P1-C2,Ken the Eagle,,,1,1680,21148,19468
1760706627.924341,1760706627.924341,0.000000,P2-C1,Ryu,P1-C2,Ken the Eagle,,,1,2240,19468,17228
