t,label,slot,base_hex,rel_off_hex,stride,pre,hit,post
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x02A,1,187,184,184
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x02B,1,128,96,96
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x02E,1,187,185,185
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x02F,1,128,160,160
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x030,1,255,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x031,1,255,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x032,1,252,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x033,1,224,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x034,1,255,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x035,1,255,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x036,1,254,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x037,1,32,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x042,1,0,3,3
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x043,1,0,32,32
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x046,1,0,3,3
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x047,1,0,32,32
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x05A,1,0,16,16
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x060,1,9,8,8
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x062,1,0,8,8
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x064,1,0,4,4
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x065,1,0,32,32
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x08D,1,167,183,183
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x099,1,165,183,183
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x09A,1,5,210,210
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x09B,1,114,208,208
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0A5,1,163,183,183
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0A6,1,154,210,210
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0A7,1,46,208,208
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0B1,1,167,183,183
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0BD,1,167,183,183
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0E1,1,167,183,183
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0E3,1,208,207,207
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F1,1,19,36,36
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F2,1,253,241,241
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F3,1,252,22,22
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F4,1,189,61,61
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F5,1,18,15,15
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F6,1,23,210,210
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x0F7,1,32,192,192
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x108,1,128,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x15A,1,192,255,255
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x15B,1,0,166,166
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x15C,1,0,61,61
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x15D,1,0,153,153
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x15E,1,0,153,153
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x15F,1,0,154,154
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x160,1,0,63,63
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x161,1,0,25,25
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x162,1,0,153,153
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x163,1,0,154,154
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x1D8,1,68,63,63
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x1D9,1,219,128,128
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x1DA,1,192,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x1EB,1,1,64,64
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x1EF,1,1,64,64
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x216,1,1,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x217,1,188,1,1
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x21B,1,1,64,64
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x21E,1,6,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x21F,1,221,1,1
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x222,1,6,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x223,1,221,3,3
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x02A,2,48000,47200,47200
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x02E,2,48000,47520,47520
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x030,2,65535,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x032,2,64736,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x034,2,65535,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x036,2,65056,0,0
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x042,2,0,800,800
1760706567.748178,HIT,P2-C1,0x927EB9E0,0x046,2,0,800,800
