rel_off_hex,stride,hit_flips,nonhit_flips,lift
0x223,1,0,10,0.0000
0x222,2,0,10,0.0000
0x220,4,0,10,0.0000
0x21F,1,0,10,0.0000
0x21E,2,0,10,0.0000
0x21C,4,0,10,0.0000
0x21B,1,0,3,0.0000
0x21A,2,0,3,0.0000
0x21A,1,0,1,0.0000
0x219,1,0,1,0.0000
0x218,4,0,3,0.0000
0x218,2,0,1,0.0000
0x218,1,0,1,0.0000
0x217,1,0,3,0.0000
0x216,2,0,3,0.0000
0x216,1,0,3,0.0000
0x215,1,0,3,0.0000
0x214,4,0,3,0.0000
0x214,2,0,3,0.0000
0x214,1,0,3,0.0000
0x1F7,1,0,1,0.0000
0x1F6,2,0,1,0.0000
0x1F4,4,0,1,0.0000
0x1EF,1,0,1,0.0000
0x1EE,2,0,1,0.0000
0x1EE,1,0,1,0.0000
0x1ED,1,0,1,0.0000
0x1EC,4,0,1,0.0000
0x1EC,2,0,1,0.0000
0x1EC,1,0,1,0.0000
0x1EB,1,0,1,0.0000
0x1EA,2,0,1,0.0000
0x1EA,1,0,1,0.0000
0x1E9,1,0,1,0.0000
0x1E8,4,0,1,0.0000
0x1E8,2,0,1,0.0000
0x1E8,1,0,1,0.0000
0x1D9,1,0,12,0.0000
0x1D8,4,0,12,0.0000
0x1D8,2,0,12,0.0000
0x1D8,1,0,6,0.0000
0x0F9,1,0,1,0.0000
0x0F8,4,0,1,0.0000
0x0F8,2,0,1,0.0000
0x0F8,1,0,1,0.0000
0x0F7,1,0,6,0.0000
0x0F6,2,0,6,0.0000
0x0F6,1,0,6,0.0000
0x0F5,1,0,6,0.0000
0x0F4,4,0,6,0.0000
0x0F4,2,0,6,0.0000
0x0F4,1,0,2,0.0000
0x0F3,1,0,11,0.0000
0x0F2,2,0,12,0.0000
0x0F2,1,0,10,0.0000
0x0F1,1,0,2,0.0000
0x0F0,4,0,12,0.0000
0x0F0,2,0,2,0.0000
0x0F0,1,0,1,0.0000
0x0EB,1,0,1,0.0000
0x0EA,2,0,1,0.0000
0x0EA,1,0,1,0.0000
0x0E9,1,0,1,0.0000
0x0E8,4,0,1,0.0000
0x0E8,2,0,1,0.0000
0x0E8,1,0,1,0.0000
0x0BF,1,0,1,0.0000
0x0BE,2,0,1,0.0000
0x0BE,1,0,1,0.0000
0x0BD,1,0,1,0.0000
0x0BC,4,0,1,0.0000
0x0BC,2,0,1,0.0000
0x0B3,1,0,1,0.0000
0x0B2,2,0,1,0.0000
0x0B2,1,0,1,0.0000
0x0B1,1,0,1,0.0000
0x0B0,4,0,1,0.0000
0x0B0,2,0,1,0.0000
0x0AD,1,0,1,0.0000
0x0AC,4,0,1,0.0000
0x0AC,2,0,1,0.0000
0x0AC,1,0,1,0.0000
0x0A5,1,0,1,0.0000
0x0A4,4,0,1,0.0000
0x0A4,2,0,1,0.0000
0x0A4,1,0,1,0.0000
0x099,1,0,1,0.0000
0x098,4,0,1,0.0000
0x098,2,0,1,0.0000
0x098,1,0,1,0.0000
0x08F,1,0,1,0.0000
0x08E,2,0,1,0.0000
0x08E,1,0,1,0.0000
0x08D,1,0,1,0.0000
0x08C,4,0,1,0.0000
0x08C,2,0,1,0.0000
0x087,1,0,1,0.0000
0x086,2,0,1,0.0000
0x084,4,0,2,0.0000
0x067,1,0,3,0.0000
0x066,2,0,3,0.0000
0x066,1,0,3,0.0000
0x065,1,0,1,0.0000
0x064,4,0,3,0.0000
0x064,2,0,1,0.0000
0x063,1,0,3,0.0000
0x062,2,0,3,0.0000
0x062,1,0,3,0.0000
0x061,1,0,2,0.0000
0x060,4,0,3,0.0000
0x060,2,0,3,0.0000
0x060,1,0,1,0.0000
0x05B,1,0,1,0.0000
0x05A,2,0,1,0.0000
0x058,4,0,1,0.0000
0x002,2,0,1,0.0000
0x002,1,0,1,0.0000
0x000,4,0,1,0.0000
0x223,1,0,10,0.0000
0x222,2,0,10,0.0000
0x220,4,0,10,0.0000
0x21F,1,0,10,0.0000
0x21E,2,0,10,0.0000
0x21C,4,0,10,0.0000
0x21B,1,0,3,0.0000
0x21A,2,0,3,0.0000
0x21A,1,0,1,0.0000
0x219,1,0,1,0.0000
0x218,4,0,3,0.0000
0x218,2,0,1,0.0000
0x218,1,0,1,0.0000
0x217,1,0,3,0.0000
0x216,2,0,3,0.0000
0x216,1,0,3,0.0000
0x215,1,0,3,0.0000
0x214,4,0,3,0.0000
0x214,2,0,3,0.0000
0x214,1,0,3,0.0000
0x1F7,1,0,1,0.0000
0x1F6,2,0,1,0.0000
0x1F4,4,0,1,0.0000
0x1EF,1,0,1,0.0000
0x1EE,2,0,1,0.0000
0x1EE,1,0,1,0.0000
0x1ED,1,0,1,0.0000
0x1EC,4,0,1,0.0000
0x1EC,2,0,1,0.0000
0x1EC,1,0,1,0.0000
0x1EB,1,0,1,0.0000
0x1EA,2,0,1,0.0000
0x1EA,1,0,1,0.0000
0x1E9,1,0,1,0.0000
0x1E8,4,0,1,0.0000
0x1E8,2,0,1,0.0000
0x1E8,1,0,1,0.0000
0x1D9,1,0,12,0.0000
0x1D8,4,0,12,0.0000
0x1D8,2,0,12,0.0000
0x1D8,1,0,6,0.0000
0x0F9,1,0,1,0.0000
0x0F8,4,0,1,0.0000
0x0F8,2,0,1,0.0000
0x0F8,1,0,1,0.0000
0x0F7,1,0,6,0.0000
0x0F6,2,0,6,0.0000
0x0F6,1,0,6,0.0000
0x0F5,1,0,6,0.0000
0x0F4,4,0,6,0.0000
0x0F4,2,0,6,0.0000
0x0F4,1,0,2,0.0000
0x0F3,1,0,11,0.0000
0x0F2,2,0,12,0.0000
0x0F2,1,0,10,0.0000
0x0F1,1,0,2,0.0000
0x0F0,4,0,12,0.0000
0x0F0,2,0,2,0.0000
0x0F0,1,0,1,0.0000
0x0EB,1,0,1,0.0000
0x0EA,2,0,1,0.0000
0x0EA,1,0,1,0.0000
0x0E9,1,0,1,0.0000
0x0E8,4,0,1,0.0000
0x0E8,2,0,1,0.0000
0x0E8,1,0,1,0.0000
0x0BF,1,0,1,0.0000
0x0BE,2,0,1,0.0000
0x0BE,1,0,1,0.0000
0x0BD,1,0,1,0.0000
0x0BC,4,0,1,0.0000
0x0BC,2,0,1,0.0000
0x0B3,1,0,1,0.0000
0x0B2,2,0,1,0.0000
0x0B2,1,0,1,0.0000
0x0B1,1,0,1,0.0000
0x0B0,4,0,1,0.0000
0x0B0,2,0,1,0.0000
0x0AD,1,0,1,0.0000
0x0AC,4,0,1,0.0000
0x0AC,2,0,1,0.0000
0x0AC,1,0,1,0.0000
0x0A5,1,0,1,0.0000
0x0A4,4,0,1,0.0000
0x0A4,2,0,1,0.0000
0x0A4,1,0,1,0.0000
0x099,1,0,1,0.0000
0x098,4,0,1,0.0000
0x098,2,0,1,0.0000
0x098,1,0,1,0.0000
0x08F,1,0,1,0.0000
0x08E,2,0,1,0.0000
0x08E,1,0,1,0.0000
0x08D,1,0,1,0.0000
0x08C,4,0,1,0.0000
0x08C,2,0,1,0.0000
0x087,1,0,1,0.0000
0x086,2,0,1,0.0000
0x084,4,0,2,0.0000
0x067,1,0,3,0.0000
0x066,2,0,3,0.0000
0x066,1,0,3,0.0000
0x065,1,0,1,0.0000
0x064,4,0,3,0.0000
0x064,2,0,1,0.0000
0x063,1,0,3,0.0000
0x062,2,0,3,0.0000
0x062,1,0,3,0.0000
0x061,1,0,2,0.0000
