t_start,t_end,dur,victim_label,victim_char,attacker_label,attacker_char,hits,total,hp_start,hp_end
1760460347.700504,1760460347.700504,0.000000,P2-C2,Ryu,,,1,2400,48000,45600
1760460348.999077,1760460348.999077,0.000000,P2-C2,Ryu,,,1,2400,45600,43200
1760460349.966863,1760460350.596201,0.629338,P2-C2,Ryu,,,3,4400,43200,38800
1760460352.348802,1760460353.915674,1.566872,P2-C2,Ryu,,,21,7662,38800,31677
1760460360.380995,1760460360.380995,0.000000,P1-C2,Ryu,,,1,2400,48000,45600
1760460361.657187,1760460361.657187,0.000000,P1-C2,Ryu,,,1,2400,45600,43200
1760460363.115757,1760460363.749584,0.633828,P1-C2,Ryu,,,3,4400,43200,38800
1760460365.486423,1760460367.062553,1.576130,P1-C2,Ryu,,,20,7123,38800,31677
1760460370.378747,1760460370.378747,0.000000,P2-C2,Ryu,,,1,800,48000,47200
1760460376.323538,1760460376.323538,0.000000,P2-C2,Ryu,,,1,1024,48000,46976
1760460377.062778,1760460377.062778,0.000000,P2-C2,Ryu,,,1,1024,46976,45952
1760460377.714283,1760460378.336048,0.621766,P2-C2,Ryu,,,3,4456,45952,41496
1760460380.069168,1760460380.668760,0.599591,P2-C2,Ryu,,,8,8694,41496,33956
1760460384.642337,1760460384.642337,0.000000,P1-C1,Ken the Eagle,,,1,800,44000,43200
1760460386.846494,1760460386.846494,0.000000,P1-C1,Ken the Eagle,,,1,1024,43200,42176
1760460387.534852,1760460387.534852,0.000000,P1-C1,Ken the Eagle,,,1,1024,42176,41152
1760460388.255356,1760460388.865720,0.610364,P1-C1,Ken the Eagle,,,3,4456,41152,36696
1760460390.617761,1760460391.214300,0.596540,P1-C1,Ken the Eagle,,,7,7540,36696,29156
