t,victim_label,victim_char,dmg,notes,victim_gate020,gate020_child_dump
1760460347.700504,P2-C2,Ryu,2400,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00123500,0x00000000,0x00000000]"
1760460348.999077,P2-C2,Ryu,2400,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00128200,0x00000000,0x00000000]"
1760460349.966863,P2-C2,Ryu,800,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0012BC00,0x00000000,0x00000000]"
1760460350.200328,P2-C2,Ryu,1368,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0012CA00,0x00000000,0x00000000]"
1760460350.596201,P2-C2,Ryu,2232,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0012E200,0x00000000,0x00000000]"
1760460352.348802,P2-C2,Ryu,612,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00134B00,0x00000000,0x00000000]"
1760460352.428230,P2-C2,Ryu,575,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00134F00,0x00000000,0x00000000]"
1760460352.496375,P2-C2,Ryu,539,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00135400,0x00000000,0x00000000]"
1760460352.532366,P2-C2,Ryu,539,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00135600,0x00000000,0x00000000]"
1760460352.585399,P2-C2,Ryu,503,no pointer proof,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x00135900,0x00000000,0x00000000]"
