t,victim_label,victim_char,dmg,hp_before,hp_after,attacker_truth_label,attacker_truth_char,proof_mode,proof_details,attacker_gate_label,gate_scheme,gate_low_idx,learn_locked,learn_accuracy,learn_coverage,dist2,victim_ptr_hex,victim_gate020_hex
1760462401.780813,P2-C2,Ryu,2400,48000,45600,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462402.985613,P2-C2,Ryu,2400,45600,43200,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462403.993072,P2-C2,Ryu,800,43200,42400,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462404.229878,P2-C2,Ryu,1368,42400,41032,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462404.640687,P2-C2,Ryu,2232,41032,38800,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.377489,P2-C2,Ryu,612,38800,38188,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.457194,P2-C2,Ryu,575,38188,37613,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.541564,P2-C2,Ryu,539,37613,37074,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.615371,P2-C2,Ryu,503,37074,36571,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.706518,P2-C2,Ryu,467,36571,36104,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.784143,P2-C2,Ryu,431,36104,35673,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.875344,P2-C2,Ryu,395,35673,35278,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462406.962650,P2-C2,Ryu,359,35278,34919,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.034217,P2-C2,Ryu,323,34919,34596,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.126860,P2-C2,Ryu,287,34596,34309,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.209164,P2-C2,Ryu,252,34309,34057,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.289913,P2-C2,Ryu,252,34057,33805,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.370538,P2-C2,Ryu,252,33805,33553,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.451789,P2-C2,Ryu,252,33553,33301,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.535680,P2-C2,Ryu,252,33301,33049,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.622352,P2-C2,Ryu,252,33049,32797,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.707344,P2-C2,Ryu,252,32797,32545,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.791157,P2-C2,Ryu,252,32545,32293,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462407.874558,P2-C2,Ryu,252,32293,32041,,,,,,,,no,,,,0x92EEBA20,0x809C0070
