t,victim_label,victim_char,attacker_truth_label,attacker_truth_char,proof_mode,victim_gate020_hex,dword_00,dword_01,dword_02,dword_03,dword_04,dword_05,dword_06,dword_07,dword_08,dword_09,dword_10,dword_11,dword_12,dword_13,dword_14,dword_15,lowbyte_00,lowbyte_01,lowbyte_02,lowbyte_03,lowbyte_04,lowbyte_05,lowbyte_06,lowbyte_07,lowbyte_08,lowbyte_09,lowbyte_10,lowbyte_11,lowbyte_12,lowbyte_13,lowbyte_14,lowbyte_15
1760462401.780813,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F32500,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462402.985613,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F36E00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462403.993072,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F3AA00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462404.229878,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F3B800,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462404.640687,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F3D100,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.377489,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F43800,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.457194,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F43D00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.541564,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F44300,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.615371,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F44700,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.706518,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F44D00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.784143,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F45100,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.875344,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F45600,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462406.962650,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F45C00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
