t_start,t_end,dur,victim_label,victim_char,attacker_label,attacker_char,hits,total,hp_start,hp_end
1760462615.657635,1760462615.657635,0.000000,P1-C1,Ken the Eagle,,,1,3200,44000,40800
1760462619.490416,1760462619.490416,0.000000,P1-C1,Ken the Eagle,,,1,800,44000,43200
1760462625.039532,1760462625.624322,0.584790,P1-C1,Ken the Eagle,,,3,2052,44000,41948
1760462626.597557,1760462627.163404,0.565847,P1-C1,Ken the Eagle,,,3,2052,41948,39896
1760462628.212101,1760462628.717313,0.505212,P1-C1,Ken the Eagle,,,3,2052,39896,37844
1760462629.614939,1760462630.100474,0.485536,P1-C1,Ken the Eagle,,,3,2052,37844,35792
1760462631.552338,1760462632.057476,0.505138,P1-C1,Ken the Eagle,,,3,1552,38792,37740
1760462633.016001,1760462633.516539,0.500538,P1-C1,Ken the Eagle,,,3,2052,37740,35688
1760462634.537780,1760462635.057337,0.519556,P1-C1,Ken the Eagle,,,3,2052,35688,33636
1760462636.198737,1760462636.747326,0.548588,P1-C1,Ken the Eagle,,,3,2052,33636,31584
1760462637.952908,1760462638.620561,0.667653,P1-C1,Ken the Eagle,,,3,2052,31584,29532
1760462639.335259,1760462639.871598,0.536338,P1-C1,Ken the Eagle,,,3,3392,29532,26140
1760462640.863032,1760462643.241880,2.378849,P1-C1,Ken the Eagle,,,7,11053,26140,15087
1760462644.170463,1760462647.303857,3.133395,P1-C1,Ken the Eagle,,,10,6295,15087,8792
1760462648.927598,1760462649.182890,0.255293,P1-C1,Ken the Eagle,,,2,1123,8792,7669
1760462650.010322,1760462650.010322,0.000000,P1-C1,Ken the Eagle,,,1,640,7669,7029
1760462650.762524,1760462650.762524,0.000000,P1-C1,Ken the Eagle,,,1,640,7029,6389
1760462651.591709,1760462651.591709,0.000000,P1-C1,Ken the Eagle,,,1,640,6389,5749
1760462652.285871,1760462652.285871,0.000000,P1-C1,Ken the Eagle,,,1,640,5749,5109
1760462652.941973,1760462653.532215,0.590242,P1-C1,Ken the Eagle,,,2,1120,5109,3989
1760462654.187230,1760462656.464082,2.276852,P1-C1,Ken the Eagle,,,5,2800,3989,1189
1760462664.562672,1760462664.562672,0.000000,P2-C2,Ryu,,,1,800,48000,47200
1760462667.512032,1760462667.512032,0.000000,P2-C2,Ryu,,,1,800,48000,47200
1760462668.278037,1760462668.278037,0.000000,P2-C2,Ryu,,,1,800,47200,46400
1760462670.244752,1760462671.224249,0.979497,P2-C2,Ryu,,,3,2400,48000,45600
1760462672.262487,1760462673.107650,0.845163,P2-C2,Ryu,,,3,2400,45600,43200
1760462674.396375,1760462674.614062,0.217687,P2-C2,Ryu,,,2,1560,43200,41640
1760462675.285076,1760462675.755867,0.470790,P2-C2,Ryu,,,3,2856,41640,38784
1760462676.745719,1760462677.201028,0.455309,P2-C2,Ryu,,,3,2280,38784,36504
1760462678.035920,1760462678.502365,0.466445,P2-C2,Ryu,,,3,2280,36504,34224
1760462679.403868,1760462681.507579,2.103712,P2-C2,Ryu,,,7,8953,34224,25271
1760462682.465338,1760462682.964292,0.498954,P2-C2,Ryu,,,3,1878,25271,23393
1760462683.976023,1760462684.909684,0.933661,P2-C2,Ryu,,,4,5500,23393,17893
1760462686.568492,1760462686.568492,0.000000,P1-C2,Ryu,,,1,4800,48000,43200
1760462687.436533,1760462690.414097,2.977564,P2-C2,Ryu,,,9,10459,17893,7434
1760462697.280537,1760462697.813385,0.532847,P2-C2,Ryu,,,3,3392,48000,44608
1760462698.670221,1760462699.197552,0.527332,P2-C2,Ryu,,,3,3392,44608,41216
1760462700.063779,1760462700.636215,0.572436,P2-C2,Ryu,,,3,3392,41216,37824
1760462701.536901,1760462702.172699,0.635798,P2-C2,Ryu,,,3,4400,37824,33424
1760462703.110947,1760462703.648051,0.537104,P2-C2,Ryu,,,3,3392,33424,30032
1760462712.363728,1760462712.590348,0.226621,P2-C2,Ryu,,,2,1560,48000,46440
1760462713.320551,1760462713.538430,0.217879,P2-C2,Ryu,,,2,1560,46440,44880
1760462714.233149,1760462714.460722,0.227573,P2-C2,Ryu,,,2,1560,44880,43320
1760462715.080378,1760462715.310564,0.230186,P2-C2,Ryu,,,2,1560,43320,41760
1760462716.050553,1760462716.287513,0.236961,P2-C2,Ryu,,,2,1560,41760,40200
1760462716.951908,1760462717.185723,0.233815,P2-C2,Ryu,,,2,1560,40200,38640
1760462717.906810,1760462718.133337,0.226527,P2-C2,Ryu,,,2,1560,38640,37080
1760462718.787518,1760462719.865331,1.077813,P2-C2,Ryu,,,4,3120,37080,33960
1760462720.543175,1760462721.022391,0.479216,P2-C2,Ryu,,,3,3161,33960,30799
1760462721.698508,1760462722.169997,0.471489,P2-C2,Ryu,,,3,2280,30799,28519
1760462722.846856,1760462723.614596,0.767740,P2-C2,Ryu,,,4,4012,28519,24507
1760462724.538937,1760462725.922375,1.383438,P2-C2,Ryu,,,5,6691,24507,17816
1760462726.936064,1760462726.936064,0.000000,P2-C2,Ryu,,,1,800,17816,17016
1760462728.653613,1760462730.241393,1.587780,P2-C2,Ryu,,,20,7766,17016,9250
