t,victim_label,victim_char,dmg,notes,victim_gate020,gate020_child_dump
1760462615.657635,P1-C1,Ken the Eagle,3200,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02259A00,0x00000000,0x00000000]"
1760462619.490416,P1-C1,Ken the Eagle,800,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02268000,0x00000000,0x00000000]"
1760462625.039532,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0227CC00,0x00000000,0x00000000]"
1760462625.372396,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0227E000,0x00000000,0x00000000]"
1760462625.624322,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0227F000,0x00000000,0x00000000]"
1760462626.597557,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02282A00,0x00000000,0x00000000]"
1760462626.912378,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02283D00,0x00000000,0x00000000]"
1760462627.163404,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02284C00,0x00000000,0x00000000]"
1760462628.212101,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02288B00,0x00000000,0x00000000]"
1760462628.450110,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02289900,0x00000000,0x00000000]"
1760462628.717313,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0228A900,0x00000000,0x00000000]"
1760462629.614939,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0228DE00,0x00000000,0x00000000]"
1760462629.858886,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0228EC00,0x00000000,0x00000000]"
1760462630.100474,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0228FC00,0x00000000,0x00000000]"
1760462631.552338,P1-C1,Ken the Eagle,220,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02295300,0x00000000,0x00000000]"
1760462631.819287,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02296300,0x00000000,0x00000000]"
1760462632.057476,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x02297100,0x00000000,0x00000000]"
1760462633.016001,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0229AB00,0x00000000,0x00000000]"
1760462633.269619,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0229BA00,0x00000000,0x00000000]"
1760462633.516539,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x0229C900,0x00000000,0x00000000]"
1760462634.537780,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022A0600,0x00000000,0x00000000]"
1760462634.805181,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022A1600,0x00000000,0x00000000]"
1760462635.057337,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022A2500,0x00000000,0x00000000]"
1760462636.198737,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022A6900,0x00000000,0x00000000]"
1760462636.498828,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022A7B00,0x00000000,0x00000000]"
1760462636.747326,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022A8A00,0x00000000,0x00000000]"
1760462637.952908,P1-C1,Ken the Eagle,720,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022AD300,0x00000000,0x00000000]"
1760462638.277416,P1-C1,Ken the Eagle,684,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022AE600,0x00000000,0x00000000]"
1760462638.620561,P1-C1,Ken the Eagle,648,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022AFB00,0x00000000,0x00000000]"
1760462639.335259,P1-C1,Ken the Eagle,800,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022B2500,0x00000000,0x00000000]"
1760462639.590636,P1-C1,Ken the Eagle,1368,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022B3300,0x00000000,0x00000000]"
1760462639.871598,P1-C1,Ken the Eagle,1224,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022B4500,0x00000000,0x00000000]"
1760462640.863032,P1-C1,Ken the Eagle,800,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022B8000,0x00000000,0x00000000]"
1760462641.082858,P1-C1,Ken the Eagle,1368,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022B8D00,0x00000000,0x00000000]"
